Image Alt,Image Src
Northwestern Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&scale=crop&cquality=40&location=origin&w=80&h=80
Ohio State Buckeyes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=80&h=80
Oregon Ducks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&scale=crop&cquality=40&location=origin&w=80&h=80
Penn State Nittany Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&scale=crop&cquality=40&location=origin&w=80&h=80
Purdue Boilermakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&scale=crop&cquality=40&location=origin&w=80&h=80
Rutgers Scarlet Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&scale=crop&cquality=40&location=origin&w=80&h=80
UCLA Bruins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png&scale=crop&cquality=40&location=origin&w=80&h=80
USC Trojans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&scale=crop&cquality=40&location=origin&w=80&h=80
Washington Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wisconsin Badgers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cal Poly Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cal State Bakersfield Roadrunners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2934.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cal State Fullerton Titans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cal State Northridge Matadors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2463.png&scale=crop&cquality=40&location=origin&w=80&h=80
Hawai'i Rainbow Warriors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/62.png&scale=crop&cquality=40&location=origin&w=80&h=80
Long Beach State Beach,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png&scale=crop&cquality=40&location=origin&w=80&h=80
UC Davis Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/302.png&scale=crop&cquality=40&location=origin&w=80&h=80
UC Irvine Anteaters,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/300.png&scale=crop&cquality=40&location=origin&w=80&h=80
UC Riverside Highlanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/27.png&scale=crop&cquality=40&location=origin&w=80&h=80
